i:  16300, t:    52116.4 s (1.17 periods), wall: 35.374 minutes, Δt:   1.38, CFL: 7.20e-01
i:  16400, t:    52265.4 s (1.17 periods), wall: 35.588 minutes, Δt:   1.53, CFL: 7.20e-01
i:  16500, t:    52419.2 s (1.17 periods), wall: 35.800 minutes, Δt:   1.65, CFL: 7.20e-01
i:  16600, t:    52573.6 s (1.18 periods), wall: 36.014 minutes, Δt:   1.48, CFL: 7.20e-01
i:  16700, t:    52712.5 s (1.18 periods), wall: 36.229 minutes, Δt:   1.22, CFL: 7.20e-01
i:  16800, t:    52853.9 s (1.18 periods), wall: 36.441 minutes, Δt:   1.44, CFL: 7.20e-01
i:  16900, t:    52995.8 s (1.19 periods), wall: 36.656 minutes, Δt:   1.14, CFL: 7.20e-01
i:  17000, t:    53125.3 s (1.19 periods), wall: 36.870 minutes, Δt:   1.27, CFL: 7.20e-01
i:  17100, t:    53258.9 s (1.19 periods), wall: 37.082 minutes, Δt:   1.43, CFL: 7.20e-01
i:  17200, t:    53396.9 s (1.20 periods), wall: 37.296 minutes, Δt:   1.50, CFL: 7.20e-01
i:  17300, t:    53528.6 s (1.20 periods), wall: 37.509 minutes, Δt:   1.30, CFL: 7.20e-01
i:  17400, t:    53661.2 s (1.20 periods), wall: 37.723 minutes, Δt:   1.32, CFL: 7.20e-01
i:  17500, t:    53789.8 s (1.20 periods), wall: 37.935 minutes, Δt:   1.20, CFL: 7.20e-01
i:  17600, t:    53908.4 s (1.21 periods), wall: 38.149 minutes, Δt:   1.20, CFL: 7.20e-01
i:  17700, t:    54030.8 s (1.21 periods), wall: 38.360 minutes, Δt:   1.38, CFL: 7.20e-01
i:  17800, t:    54155.1 s (1.21 periods), wall: 38.573 minutes, Δt:   1.08, CFL: 7.20e-01
i:  17900, t:    54273.3 s (1.22 periods), wall: 38.786 minutes, Δt:   1.29, CFL: 7.20e-01
i:  18000, t:    54404.6 s (1.22 periods), wall: 38.998 minutes, Δt:   1.45, CFL: 7.20e-01
i:  18100, t:    54538.4 s (1.22 periods), wall: 39.211 minutes, Δt:   1.32, CFL: 7.20e-01
i:  18200, t:    54660.8 s (1.22 periods), wall: 39.423 minutes, Δt:   1.25, CFL: 7.20e-01
i:  18300, t:    54794.9 s (1.23 periods), wall: 39.636 minutes, Δt:   1.34, CFL: 7.20e-01
i:  18400, t:    54930.6 s (1.23 periods), wall: 39.846 minutes, Δt:   1.21, CFL: 7.20e-01
i:  18500, t:    55059.9 s (1.23 periods), wall: 40.057 minutes, Δt:   1.37, CFL: 7.20e-01
i:  18600, t:    55189.1 s (1.24 periods), wall: 40.270 minutes, Δt:   1.28, CFL: 7.20e-01
i:  18700, t:    55301.5 s (1.24 periods), wall: 40.483 minutes, Δt:   1.20, CFL: 7.20e-01
i:  18800, t:    55431.4 s (1.24 periods), wall: 40.697 minutes, Δt:   1.46, CFL: 7.20e-01
i:  18900, t:    55568.0 s (1.24 periods), wall: 40.910 minutes, Δt:   1.33, CFL: 7.20e-01
i:  19000, t:    55698.3 s (1.25 periods), wall: 41.124 minutes, Δt:   1.25, CFL: 7.20e-01
i:  19100, t:    55831.0 s (1.25 periods), wall: 41.340 minutes, Δt:   1.43, CFL: 7.20e-01
i:  19200, t:    55966.3 s (1.25 periods), wall: 41.552 minutes, Δt:   1.32, CFL: 7.20e-01
i:  19300, t:    56108.0 s (1.26 periods), wall: 41.766 minutes, Δt:   1.42, CFL: 7.20e-01
i:  19400, t:    56242.9 s (1.26 periods), wall: 41.979 minutes, Δt:   1.46, CFL: 7.20e-01
i:  19500, t:    56390.8 s (1.26 periods), wall: 42.193 minutes, Δt:   1.40, CFL: 7.20e-01
i:  19600, t:    56531.3 s (1.27 periods), wall: 42.408 minutes, Δt:   1.50, CFL: 7.20e-01
i:  19700, t:    56672.9 s (1.27 periods), wall: 42.621 minutes, Δt:   1.35, CFL: 7.20e-01
i:  19800, t:    56813.0 s (1.27 periods), wall: 42.836 minutes, Δt:   1.32, CFL: 7.20e-01
i:  19900, t:    56960.6 s (1.28 periods), wall: 43.049 minutes, Δt:   1.46, CFL: 7.20e-01
i:  20000, t:    57106.6 s (1.28 periods), wall: 43.262 minutes, Δt:   1.53, CFL: 7.20e-01
i:  20100, t:    57249.5 s (1.28 periods), wall: 43.474 minutes, Δt:   1.31, CFL: 7.20e-01
