
==============================================================================
==== 2026-09-10 23:50:55  P4_T10_r0.2  (r = 0.2, T = 10.0)
==============================================================================
ekmanrun.jl case P4_T10_r0.2
  architecture      GPU
  dimensions        75.0 m x 75.0 m x 150.0 m  (+ 20 m sponge, H = 170 m)
  grid              100 x 100 x 400   (first centre at z = 0.1182 m)
  U∞  = 0.0400   f₀ = 1.00e-04   r = N/f = 0.2   N² = 4.000e-10
  profile 4 (softplus), T = 10.0 m, sharp = 6.0
  cᴰ  = 0.00908   ν₀ = 1.0e-06   κ₀ = 1.0e-07   Pr = 10
  duration 1.600e+06 s = 25.46 inertial periods, max Δt = 15 s
  moments every 314 s, x-z slices off, Avg_* writers ON
i:   20500, sim time:    192890 (3.07 T_f), wall: 14.831 minutes, Δt:   9.63, CFL: 9.00e-01
i:   20600, sim time:    193786 (3.08 T_f), wall: 14.890 minutes, Δt:   9.86, CFL: 9.00e-01
i:   20700, sim time:    194699 (3.10 T_f), wall: 14.950 minutes, Δt:   9.50, CFL: 9.00e-01
i:   20800, sim time:    195610 (3.11 T_f), wall: 15.003 minutes, Δt:   9.82, CFL: 9.00e-01
i:   20900, sim time:    196564 (3.13 T_f), wall: 15.058 minutes, Δt:   9.70, CFL: 9.00e-01
i:   21000, sim time:    197471 (3.14 T_f), wall: 15.115 minutes, Δt:  10.25, CFL: 9.00e-01
i:   21100, sim time:    198400 (3.16 T_f), wall: 15.168 minutes, Δt:   9.62, CFL: 9.00e-01
i:   21200, sim time:    199340 (3.17 T_f), wall: 15.228 minutes, Δt:  10.07, CFL: 9.00e-01
i:   21300, sim time:    200321 (3.19 T_f), wall: 15.289 minutes, Δt:  10.38, CFL: 9.00e-01
i:   21400, sim time:    201274 (3.20 T_f), wall: 15.345 minutes, Δt:  10.51, CFL: 9.00e-01
i:   21500, sim time:    202209 (3.22 T_f), wall: 15.401 minutes, Δt:   9.52, CFL: 9.00e-01
i:   21600, sim time:    203130 (3.23 T_f), wall: 15.451 minutes, Δt:  10.09, CFL: 9.00e-01
i:   21700, sim time:    204090 (3.25 T_f), wall: 15.502 minutes, Δt:   9.99, CFL: 9.00e-01
i:   21800, sim time:    205029 (3.26 T_f), wall: 15.564 minutes, Δt:  10.16, CFL: 9.00e-01
