i:      0, t:        0.0 s (0.00 periods), wall: 24.109 seconds, Δt:   1.20, CFL: 1.71e-01
i:  15300, t:    47410.5 s (1.06 periods), wall: 17.399 minutes, Δt:   4.59, CFL: 7.20e-01
i:  15400, t:    47900.1 s (1.07 periods), wall: 17.509 minutes, Δt:   4.83, CFL: 7.20e-01
i:  15500, t:    48348.3 s (1.08 periods), wall: 17.618 minutes, Δt:   3.96, CFL: 7.20e-01
i:  15600, t:    48710.9 s (1.09 periods), wall: 17.728 minutes, Δt:   3.56, CFL: 7.20e-01
i:  15700, t:    49070.8 s (1.10 periods), wall: 17.837 minutes, Δt:   3.16, CFL: 7.20e-01
i:  15800, t:    49342.8 s (1.11 periods), wall: 17.946 minutes, Δt:   2.67, CFL: 7.20e-01
i:  15900, t:    49565.7 s (1.11 periods), wall: 18.055 minutes, Δt:   2.49, CFL: 7.20e-01
i:  16000, t:    49782.2 s (1.12 periods), wall: 18.163 minutes, Δt:   1.72, CFL: 7.20e-01
i:  16100, t:    49973.4 s (1.12 periods), wall: 18.271 minutes, Δt:   1.79, CFL: 7.20e-01
i:  16200, t:    50162.2 s (1.12 periods), wall: 18.380 minutes, Δt:   2.07, CFL: 7.20e-01
i:  16300, t:    50311.6 s (1.13 periods), wall: 18.489 minutes, Δt:   1.57, CFL: 7.20e-01
i:  16400, t:    50480.4 s (1.13 periods), wall: 18.598 minutes, Δt:   1.66, CFL: 7.20e-01
i:  16500, t:    50630.2 s (1.13 periods), wall: 18.706 minutes, Δt:   1.67, CFL: 7.20e-01
i:  16600, t:    50796.2 s (1.14 periods), wall: 18.814 minutes, Δt:   1.80, CFL: 7.20e-01
i:  16700, t:    50964.9 s (1.14 periods), wall: 18.923 minutes, Δt:   1.47, CFL: 7.20e-01
i:  16800, t:    51100.0 s (1.14 periods), wall: 19.031 minutes, Δt:   1.39, CFL: 7.20e-01
i:  16900, t:    51246.2 s (1.15 periods), wall: 19.140 minutes, Δt:   1.46, CFL: 7.20e-01
i:  17000, t:    51403.1 s (1.15 periods), wall: 19.249 minutes, Δt:   1.67, CFL: 7.20e-01
i:  17100, t:    51563.6 s (1.16 periods), wall: 19.358 minutes, Δt:   1.43, CFL: 7.20e-01
i:  17200, t:    51722.6 s (1.16 periods), wall: 19.466 minutes, Δt:   1.55, CFL: 7.20e-01
i:  17300, t:    51879.0 s (1.16 periods), wall: 19.574 minutes, Δt:   1.33, CFL: 7.20e-01
i:  17400, t:    52033.6 s (1.17 periods), wall: 19.683 minutes, Δt:   1.36, CFL: 7.20e-01
i:  17500, t:    52163.4 s (1.17 periods), wall: 19.791 minutes, Δt:   1.49, CFL: 7.20e-01
i:  17600, t:    52307.9 s (1.17 periods), wall: 19.899 minutes, Δt:   1.48, CFL: 7.20e-01
i:  17700, t:    52452.0 s (1.18 periods), wall: 20.008 minutes, Δt:   1.50, CFL: 7.20e-01
i:  17800, t:    52600.1 s (1.18 periods), wall: 20.116 minutes, Δt:   1.72, CFL: 7.20e-01
i:  17900, t:    52755.4 s (1.18 periods), wall: 20.225 minutes, Δt:   1.56, CFL: 7.20e-01
i:  18000, t:    52905.4 s (1.19 periods), wall: 20.334 minutes, Δt:   1.45, CFL: 7.20e-01
i:  18100, t:    53035.1 s (1.19 periods), wall: 20.442 minutes, Δt:   1.35, CFL: 7.20e-01
i:  18200, t:    53179.7 s (1.19 periods), wall: 20.551 minutes, Δt:   1.44, CFL: 7.20e-01
i:  18300, t:    53329.8 s (1.19 periods), wall: 20.659 minutes, Δt:   1.44, CFL: 7.20e-01
i:  18400, t:    53472.0 s (1.20 periods), wall: 20.767 minutes, Δt:   1.19, CFL: 7.20e-01
i:  18500, t:    53608.4 s (1.20 periods), wall: 20.876 minutes, Δt:   1.49, CFL: 7.20e-01
i:  18600, t:    53759.3 s (1.20 periods), wall: 20.984 minutes, Δt:   1.47, CFL: 7.20e-01
i:  18700, t:    53911.5 s (1.21 periods), wall: 21.094 minutes, Δt:   1.61, CFL: 7.20e-01
i:  18800, t:    54059.3 s (1.21 periods), wall: 21.203 minutes, Δt:   1.32, CFL: 7.20e-01
i:  18900, t:    54203.6 s (1.21 periods), wall: 21.310 minutes, Δt:   1.55, CFL: 7.20e-01
i:  19000, t:    54344.7 s (1.22 periods), wall: 21.419 minutes, Δt:   1.53, CFL: 7.20e-01
i:  19100, t:    54488.7 s (1.22 periods), wall: 21.528 minutes, Δt:   1.33, CFL: 7.20e-01
i:  19200, t:    54617.0 s (1.22 periods), wall: 21.636 minutes, Δt:   1.41, CFL: 7.20e-01
i:  19300, t:    54751.3 s (1.23 periods), wall: 21.745 minutes, Δt:   1.54, CFL: 7.20e-01
i:  19400, t:    54898.0 s (1.23 periods), wall: 21.853 minutes, Δt:   1.16, CFL: 7.20e-01
i:  19500, t:    55019.8 s (1.23 periods), wall: 21.962 minutes, Δt:   1.16, CFL: 7.20e-01
i:  19600, t:    55157.6 s (1.24 periods), wall: 22.071 minutes, Δt:   1.36, CFL: 7.20e-01
i:  19700, t:    55295.9 s (1.24 periods), wall: 22.179 minutes, Δt:   1.32, CFL: 7.20e-01
i:  19800, t:    55426.1 s (1.24 periods), wall: 22.287 minutes, Δt:   1.52, CFL: 7.20e-01
i:  19900, t:    55571.9 s (1.24 periods), wall: 22.395 minutes, Δt:   1.39, CFL: 7.20e-01
i:  20000, t:    55716.8 s (1.25 periods), wall: 22.504 minutes, Δt:   1.45, CFL: 7.20e-01
i:  20100, t:    55840.2 s (1.25 periods), wall: 22.613 minutes, Δt:   1.25, CFL: 7.20e-01
i:  20200, t:    55987.6 s (1.25 periods), wall: 22.721 minutes, Δt:   1.54, CFL: 7.20e-01
i:  20300, t:    56129.5 s (1.26 periods), wall: 22.830 minutes, Δt:   1.39, CFL: 7.20e-01
i:  20400, t:    56273.9 s (1.26 periods), wall: 22.938 minutes, Δt:   1.45, CFL: 7.20e-01
i:  20500, t:    56421.5 s (1.26 periods), wall: 23.046 minutes, Δt:   1.51, CFL: 7.20e-01
i:  20600, t:    56564.0 s (1.27 periods), wall: 23.155 minutes, Δt:   1.46, CFL: 7.20e-01
i:  20700, t:    56712.5 s (1.27 periods), wall: 23.264 minutes, Δt:   1.58, CFL: 7.20e-01
i:  20800, t:    56869.0 s (1.27 periods), wall: 23.372 minutes, Δt:   1.40, CFL: 7.20e-01
i:  20900, t:    57027.9 s (1.28 periods), wall: 23.481 minutes, Δt:   1.76, CFL: 7.20e-01
i:  21000, t:    57192.2 s (1.28 periods), wall: 23.590 minutes, Δt:   1.67, CFL: 7.20e-01
i:  21100, t:    57348.7 s (1.28 periods), wall: 23.698 minutes, Δt:   1.45, CFL: 7.20e-01
i:  21200, t:    57508.9 s (1.29 periods), wall: 23.807 minutes, Δt:   1.59, CFL: 7.20e-01
i:  21300, t:    57671.1 s (1.29 periods), wall: 23.916 minutes, Δt:   1.48, CFL: 7.20e-01
i:  21400, t:    57817.3 s (1.30 periods), wall: 24.024 minutes, Δt:   1.46, CFL: 7.20e-01
