================ Case Ri0 : simulation ================
i:  20700, t:   109898.9 s (2.46 periods), wall: 2.295 hours, Δt:   8.40, CFL: 7.20e-01
i:  20800, t:   110786.4 s (2.48 periods), wall: 2.304 hours, Δt:   8.43, CFL: 7.20e-01
i:  20900, t:   111667.6 s (2.50 periods), wall: 2.314 hours, Δt:   8.32, CFL: 7.20e-01
i:  21000, t:   112472.9 s (2.52 periods), wall: 2.323 hours, Δt:   8.14, CFL: 7.20e-01
i:  21100, t:   113211.4 s (2.54 periods), wall: 2.332 hours, Δt:   6.92, CFL: 7.20e-01
i:  21200, t:   113863.3 s (2.55 periods), wall: 2.342 hours, Δt:   6.30, CFL: 7.20e-01
i:  21300, t:   114463.9 s (2.56 periods), wall: 2.352 hours, Δt:   5.73, CFL: 7.20e-01
i:  21400, t:   115021.9 s (2.58 periods), wall: 2.361 hours, Δt:   5.73, CFL: 7.20e-01
i:  21500, t:   115606.3 s (2.59 periods), wall: 2.370 hours, Δt:   5.86, CFL: 7.20e-01
i:  21600, t:   116170.5 s (2.60 periods), wall: 2.379 hours, Δt:   5.60, CFL: 7.20e-01
i:  21700, t:   116715.3 s (2.61 periods), wall: 2.388 hours, Δt:   5.38, CFL: 7.20e-01
i:  21800, t:   117236.2 s (2.63 periods), wall: 2.398 hours, Δt:   5.06, CFL: 7.20e-01
i:  21900, t:   117723.0 s (2.64 periods), wall: 2.407 hours, Δt:   4.80, CFL: 7.20e-01
i:  22000, t:   118198.5 s (2.65 periods), wall: 2.416 hours, Δt:   4.88, CFL: 7.20e-01
i:  22100, t:   118685.3 s (2.66 periods), wall: 2.425 hours, Δt:   4.86, CFL: 7.20e-01
i:  22200, t:   119158.1 s (2.67 periods), wall: 2.434 hours, Δt:   4.65, CFL: 7.20e-01
i:  22300, t:   119612.8 s (2.68 periods), wall: 2.443 hours, Δt:   4.52, CFL: 7.20e-01
i:  22400, t:   120057.3 s (2.69 periods), wall: 2.452 hours, Δt:   4.41, CFL: 7.20e-01
i:  22500, t:   120491.1 s (2.70 periods), wall: 2.461 hours, Δt:   4.33, CFL: 7.20e-01
i:  22600, t:   120918.5 s (2.71 periods), wall: 2.471 hours, Δt:   4.26, CFL: 7.20e-01
i:  22700, t:   121337.8 s (2.72 periods), wall: 2.480 hours, Δt:   4.22, CFL: 7.20e-01
i:  22800, t:   121744.2 s (2.73 periods), wall: 2.489 hours, Δt:   4.04, CFL: 7.20e-01
